value,function_name,node_name,replica_id
setup,resnet50-preprocessing,rockpi_8,140438311080704
finish,resnet50-preprocessing,rockpi_8,140438311080704
finish,speech-inference,rockpi_30,140438311512928
finish,resnet50-inference,rockpi_12,140438311513504
deploy,speech-inference,rockpi_13,140438310408480
startup,speech-inference,rockpi_13,140438310408480
setup,speech-inference,rockpi_13,140438310408480
deploy,resnet50-preprocessing,nx_3,140438330885888
deploy,python-pi,rockpi_5,140438310410544
startup,python-pi,rockpi_5,140438310410544
setup,python-pi,rockpi_5,140438310410544
finish,python-pi,rockpi_5,140438310410544
deploy,fio,rpi3_6,140438310411312
startup,fio,rpi3_6,140438310411312
setup,fio,rpi3_6,140438310411312
finish,fio,rpi3_6,140438310411312
deploy,resnet50-inference,nano_15,140438310409968
startup,resnet50-inference,nano_15,140438310409968
setup,resnet50-inference,nano_15,140438310409968
finish,speech-inference,rockpi_13,140438310408480
startup,resnet50-preprocessing,nx_3,140438330885888
setup,resnet50-preprocessing,nx_3,140438330885888
finish,resnet50-preprocessing,nx_3,140438330885888
deploy,speech-inference,nano_26,140438308976432
deploy,resnet50-preprocessing,rockpi_21,140438310415056
startup,resnet50-preprocessing,rockpi_21,140438310415056
setup,resnet50-preprocessing,rockpi_21,140438310415056
finish,resnet50-preprocessing,rockpi_21,140438310415056
deploy,python-pi,rockpi_19,140438308978448
finish,resnet50-inference,nano_15,140438310409968
deploy,fio,rpi3_7,140438309324064
startup,fio,rpi3_7,140438309324064
setup,fio,rpi3_7,140438309324064
finish,fio,rpi3_7,140438309324064
deploy,resnet50-inference,nano_18,140438308977536
startup,speech-inference,nano_26,140438308976432
setup,speech-inference,nano_26,140438308976432
startup,python-pi,rockpi_19,140438308978448
setup,python-pi,rockpi_19,140438308978448
finish,python-pi,rockpi_19,140438308978448
startup,resnet50-inference,nano_18,140438308977536
setup,resnet50-inference,nano_18,140438308977536
finish,speech-inference,nano_26,140438308976432
finish,resnet50-inference,nano_18,140438308977536
deploy,speech-inference,nx_13,140438301697136
deploy,resnet50-preprocessing,nano_19,140438309327136
deploy,python-pi,rockpi_16,140438301699200
deploy,fio,rpi3_8,140438301699968
startup,fio,rpi3_8,140438301699968
setup,fio,rpi3_8,140438301699968
finish,fio,rpi3_8,140438301699968
deploy,resnet50-inference,rockpi_14,140438301698432
startup,speech-inference,nx_13,140438301697136
setup,speech-inference,nx_13,140438301697136
startup,python-pi,rockpi_16,140438301699200
setup,python-pi,rockpi_16,140438301699200
finish,python-pi,rockpi_16,140438301699200
startup,resnet50-inference,rockpi_14,140438301698432
setup,resnet50-inference,rockpi_14,140438301698432
finish,speech-inference,nx_13,140438301697136
startup,resnet50-preprocessing,nano_19,140438309327136
setup,resnet50-preprocessing,nano_19,140438309327136
finish,resnet50-preprocessing,nano_19,140438309327136
finish,resnet50-inference,rockpi_14,140438301698432
deploy,speech-inference,nx_4,140438300445520
deploy,resnet50-preprocessing,nano_9,140438301703664
deploy,python-pi,nano_12,140438300447584
deploy,fio,rpi3_12,140438300448352
startup,fio,rpi3_12,140438300448352
setup,fio,rpi3_12,140438300448352
finish,fio,rpi3_12,140438300448352
deploy,resnet50-inference,nano_21,140438300446816
startup,speech-inference,nx_4,140438300445520
setup,speech-inference,nx_4,140438300445520
startup,python-pi,nano_12,140438300447584
setup,python-pi,nano_12,140438300447584
finish,python-pi,nano_12,140438300447584
startup,resnet50-inference,nano_21,140438300446816
setup,resnet50-inference,nano_21,140438300446816
finish,speech-inference,nx_4,140438300445520
startup,resnet50-preprocessing,nano_9,140438301703664
setup,resnet50-preprocessing,nano_9,140438301703664
finish,resnet50-preprocessing,nano_9,140438301703664
finish,resnet50-inference,nano_21,140438300446816
deploy,speech-inference,rockpi_10,140438306225216
startup,speech-inference,rockpi_10,140438306225216
setup,speech-inference,rockpi_10,140438306225216
deploy,resnet50-preprocessing,nx_7,140438300452048
startup,resnet50-preprocessing,nx_7,140438300452048
setup,resnet50-preprocessing,nx_7,140438300452048
finish,resnet50-preprocessing,nx_7,140438300452048
deploy,python-pi,nano_20,140438306391136
deploy,fio,rpi3_13,140438306392096
startup,fio,rpi3_13,140438306392096
setup,fio,rpi3_13,140438306392096
finish,fio,rpi3_13,140438306392096
deploy,resnet50-inference,rockpi_0,140438306390560
finish,speech-inference,rockpi_10,140438306225216
startup,python-pi,nano_20,140438306391136
setup,python-pi,nano_20,140438306391136
finish,python-pi,nano_20,140438306391136
startup,resnet50-inference,rockpi_0,140438306390560
