FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  rpi4_51: 295 invocations (0.3%)
  rpi3_113: 171 invocations (0.2%)
  rpi3_112: 169 invocations (0.2%)
  rpi3_111: 170 invocations (0.2%)
  rockpi_5: 432 invocations (0.4%)
  rockpi_66: 328 invocations (0.3%)
  rockpi_40: 308 invocations (0.3%)
  rpi4_59: 246 invocations (0.2%)
  rpi3_95: 143 invocations (0.1%)
  rpi3_94: 142 invocations (0.1%)
  rpi3_93: 143 invocations (0.1%)
  rpi4_2: 104 invocations (0.1%)
  rpi4_3: 102 invocations (0.1%)
  rockpi_23: 340 invocations (0.3%)
  rockpi_15: 273 invocations (0.3%)
  rpi3_159: 40 invocations (0.0%)
  rpi4_140: 216 invocations (0.2%)
  rockpi_32: 256 invocations (0.2%)
  rpi4_1: 92 invocations (0.1%)
  rpi4_141: 204 invocations (0.2%)
  rpi4_108: 204 invocations (0.2%)
  rpi4_109: 202 invocations (0.2%)
  rpi4_105: 88 invocations (0.1%)
  rpi4_12: 84 invocations (0.1%)
  rpi4_13: 87 invocations (0.1%)
  nx_3: 196 invocations (0.2%)
  rpi4_145: 76 invocations (0.1%)
  rpi3_158: 32 invocations (0.0%)
  rockpi_82: 244 invocations (0.2%)
  rpi3_102: 99 invocations (0.1%)
  rpi4_37: 169 invocations (0.2%)
  rpi3_104: 98 invocations (0.1%)
  rpi4_107: 72 invocations (0.1%)
  rpi3_103: 98 invocations (0.1%)
  rpi4_106: 67 invocations (0.1%)
  rpi3_168: 99 invocations (0.1%)
  rpi3_68: 31 invocations (0.0%)
  rpi3_66: 32 invocations (0.0%)
  rpi3_67: 31 invocations (0.0%)
  rockpi_96: 180 invocations (0.2%)
  rockpi_67: 227 invocations (0.2%)
  rockpi_89: 212 invocations (0.2%)
  xeongpu_2: 4 invocations (0.0%)
  rockpi_64: 200 invocations (0.2%)
  xeongpu_1: 4 invocations (0.0%)
  rpi4_57: 61 invocations (0.1%)
  rpi4_40: 139 invocations (0.1%)
