FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=  10.3s | network    | rpi4_34 → rockpi_9   | unknown                   | data_download (45.8 MB)
t=  10.4s | network    | registry → rpi3_16   | unknown                   | docker_pull (31.5 MB)
t=  10.5s | network    | registry → rpi3_17   | unknown                   | docker_pull (31.5 MB)
t=  10.6s | network    | registry → rockpi_25 | unknown                   | docker_pull (38.1 MB)
t=  10.7s | network    | registry → rpi3_27   | unknown                   | docker_pull (66.8 MB)
t=  10.8s | network    | registry → rpi3_28   | unknown                   | docker_pull (66.8 MB)
t=  10.9s | network    | registry → rpi3_29   | unknown                   | docker_pull (66.8 MB)
t=  11.0s | replica    | rockpi_14            | resnet50-preprocessing-suburb | startup replica of resnet50-preprocessing-suburb
t=  11.0s | network    | registry → rpi4_44   | unknown                   | docker_pull (66.8 MB)
t=  11.1s | network    | registry → rpi4_45   | unknown                   | docker_pull (66.8 MB)
t=  11.2s | network    | registry → rpi4_36   | unknown                   | docker_pull (130.7 MB)
t=  11.3s | network    | registry → rpi4_37   | unknown                   | docker_pull (130.7 MB)
t=  11.4s | network    | registry → rockpi_26 | unknown                   | docker_pull (182.2 MB)
t=  11.5s | network    | registry → nuc_8     | unknown                   | docker_pull (190.7 MB)
t=  11.6s | network    | registry → nuc_9     | unknown                   | docker_pull (190.7 MB)
t=  11.7s | network    | rpi4_34 → rpi3_35    | unknown                   | data_download (45.8 MB)
t=  11.8s | network    | rpi4_34 → rpi3_33    | unknown                   | data_download (45.8 MB)
t=  11.9s | network    | rpi4_34 → rpi3_34    | unknown                   | data_download (45.8 MB)
t=  12.0s | replica    | rockpi_14            | resnet50-preprocessing-suburb | setup replica of resnet50-preprocessing-suburb
t=  12.0s | network    | registry → coral_4   | unknown                   | docker_pull (38.1 MB)
t=  12.1s | network    | registry → rockpi_10 | unknown                   | docker_pull (38.1 MB)
t=  12.2s | network    | registry → rpi4_54   | unknown                   | docker_pull (66.8 MB)
t=  12.3s | network    | registry → rpi4_55   | unknown                   | docker_pull (66.8 MB)
t=  12.4s | network    | registry → rpi4_2    | unknown                   | docker_pull (66.8 MB)
t=  12.5s | network    | registry → rpi4_3    | unknown                   | docker_pull (66.8 MB)
t=  12.6s | network    | registry → rpi3_39   | unknown                   | docker_pull (66.8 MB)
t=  12.7s | network    | registry → rpi4_35   | unknown                   | docker_pull (130.7 MB)
t=  12.8s | network    | registry → rpi4_57   | unknown                   | docker_pull (130.7 MB)
t=  12.9s | network    | rpi4_34 → rpi4_52    | unknown                   | data_download (98.2 MB)
t=  13.0s | replica    | rockpi_14            | resnet50-preprocessing-suburb | finish replica of resnet50-preprocessing-suburb
t=  13.0s | network    | registry → coral_0   | unknown                   | docker_pull (182.2 MB)
t=  13.1s | network    | registry → nuc_10    | unknown                   | docker_pull (190.7 MB)
t=  13.2s | network    | registry → nuc_11    | unknown                   | docker_pull (190.7 MB)
t=  13.3s | network    | rpi4_34 → rpi3_45    | unknown                   | data_download (98.2 MB)
t=  13.4s | network    | rpi4_34 → rpi4_53    | unknown                   | data_download (98.2 MB)
t=  13.5s | network    | rpi4_34 → rpi3_46    | unknown                   | data_download (98.2 MB)
t=  13.6s | network    | rpi4_34 → rpi3_47    | unknown                   | data_download (98.2 MB)
t=  13.7s | network    | registry → rockpi_17 | unknown                   | docker_pull (38.1 MB)
t=  13.8s | network    | registry → rockpi_24 | unknown                   | docker_pull (38.1 MB)
t=  13.9s | network    | registry → rpi4_28   | unknown                   | docker_pull (66.8 MB)
t=  14.0s | replica    | rockpi_11            | resnet50-preprocessing-industrial | deploy replica of resnet50-preprocessing-industrial
t=  14.0s | network    | registry → rpi4_29   | unknown                   | docker_pull (66.8 MB)
t=  14.1s | network    | registry → rpi4_24   | unknown                   | docker_pull (66.8 MB)
t=  14.2s | network    | registry → rpi4_25   | unknown                   | docker_pull (66.8 MB)
t=  14.3s | network    | registry → rpi4_30   | unknown                   | docker_pull (66.8 MB)
t=  14.4s | network    | registry → rpi3_40   | unknown                   | docker_pull (130.7 MB)
t=  14.5s | network    | registry → rpi3_41   | unknown                   | docker_pull (130.7 MB)
t=  14.6s | network    | registry → rockpi_19 | unknown                   | docker_pull (182.2 MB)
t=  14.7s | network    | registry → nuc_12    | unknown                   | docker_pull (190.7 MB)
t=  14.8s | network    | registry → nuc_13    | unknown                   | docker_pull (190.7 MB)
t=  14.9s | network    | rpi4_34 → nuc_5      | unknown                   | data_download (55.3 MB)
