FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-24 15:46:08

Total deployment events: 1580
Number of node-function combinations: 230

Event Type Summary:
  Deployment events: 4
  Replica events: 957
  Network events: 619

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=  13.4s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  13.5s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=  13.6s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  13.7s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=  13.8s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  13.9s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  14.0s | replica    | nx_1                 | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t=  14.0s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  14.1s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  14.2s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  14.3s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  14.4s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  14.5s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  14.6s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  14.7s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  14.8s | network    | registry → nuc_0     | unknown                   | docker_pull (190.7 MB)
t=  14.9s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=  15.0s | replica    | nx_1                 | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t=  15.0s | network    | registry → nuc_2     | unknown                   | docker_pull (190.7 MB)
t=  15.1s | network    | registry → nuc_3     | unknown                   | docker_pull (190.7 MB)
t=  15.2s | network    | registry → nuc_4     | unknown                   | docker_pull (190.7 MB)
t=  15.3s | network    | registry → nuc_5     | unknown                   | docker_pull (190.7 MB)
t=  15.4s | network    | registry → nuc_6     | unknown                   | docker_pull (190.7 MB)
t=  15.5s | network    | registry → nuc_7     | unknown                   | docker_pull (190.7 MB)
t=  15.6s | network    | registry → nuc_8     | unknown                   | docker_pull (190.7 MB)
t=  15.7s | network    | registry → nuc_10    | unknown                   | docker_pull (190.7 MB)
t=  15.8s | network    | registry → nuc_11    | unknown                   | docker_pull (190.7 MB)
t=  15.9s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  16.0s | replica    | nx_2                 | resnet50-training         | deploy replica of resnet50-training
t=  16.0s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  16.1s | network    | registry → nuc_12    | unknown                   | docker_pull (190.7 MB)
t=  16.2s | network    | registry → nuc_13    | unknown                   | docker_pull (190.7 MB)
t=  16.3s | network    | registry → nuc_14    | unknown                   | docker_pull (190.7 MB)
t=  16.4s | network    | registry → nuc_15    | unknown                   | docker_pull (190.7 MB)
t=  16.5s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  16.6s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  16.7s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  16.8s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  16.9s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  17.0s | replica    | nx_2                 | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t=  17.0s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  17.1s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  17.2s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  17.3s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  17.4s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  17.5s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  17.6s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  17.7s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  17.8s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  17.9s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  18.0s | replica    | nx_2                 | resnet50-training-downtown | startup replica of resnet50-training-downtown
t=  18.0s | network    | registry → nuc_16    | unknown                   | docker_pull (190.7 MB)
t=  18.1s | network    | registry → nuc_17    | unknown                   | docker_pull (190.7 MB)
t=  18.2s | network    | registry → nuc_18    | unknown                   | docker_pull (190.7 MB)
t=  18.3s | network    | registry → nuc_19    | unknown                   | docker_pull (190.7 MB)
t=  18.4s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  18.5s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  18.6s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  18.7s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  18.8s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  18.9s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
