FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  registry → rockpi_20: 38.15 MB in 0.33 s
  registry → rockpi_21: 182.15 MB in 1.58 s
  registry → rockpi_22: 182.15 MB in 1.58 s
  registry → rockpi_23: 182.15 MB in 1.58 s
  registry → rockpi_24: 182.15 MB in 1.58 s
  registry → rockpi_25: 38.15 MB in 0.33 s
  registry → rockpi_26: 182.15 MB in 1.58 s
  registry → rockpi_27: 220.30 MB in 1.91 s
  registry → rockpi_28: 38.15 MB in 0.33 s
  registry → rockpi_29: 38.15 MB in 0.40 s
  registry → rockpi_3: 220.30 MB in 1.91 s
  registry → rockpi_30: 220.30 MB in 2.55 s
  registry → rockpi_31: 38.15 MB in 0.33 s
  registry → rockpi_32: 38.15 MB in 0.33 s
  registry → rockpi_33: 38.15 MB in 0.34 s
  registry → rockpi_34: 38.15 MB in 0.33 s
  registry → rockpi_35: 38.15 MB in 0.33 s
  registry → rockpi_36: 220.30 MB in 2.56 s
  registry → rockpi_37: 220.30 MB in 1.92 s
  registry → rockpi_38: 38.15 MB in 0.33 s
  registry → rockpi_39: 38.15 MB in 0.33 s
  registry → rockpi_4: 38.15 MB in 0.34 s
  registry → rockpi_40: 38.15 MB in 0.34 s
  registry → rockpi_41: 220.30 MB in 1.91 s
  registry → rockpi_42: 38.15 MB in 0.33 s
  registry → rockpi_43: 182.15 MB in 1.58 s
  registry → rockpi_44: 182.15 MB in 1.58 s
  registry → rockpi_45: 38.15 MB in 0.34 s
  registry → rockpi_46: 220.30 MB in 1.91 s
  registry → rockpi_47: 220.30 MB in 1.91 s
  registry → rockpi_48: 220.30 MB in 1.91 s
  registry → rockpi_49: 38.15 MB in 0.33 s
  registry → rockpi_5: 182.15 MB in 1.58 s
  registry → rockpi_50: 38.15 MB in 0.34 s
  registry → rockpi_51: 38.15 MB in 0.33 s
  registry → rockpi_52: 182.15 MB in 1.58 s
  registry → rockpi_53: 38.15 MB in 0.33 s
  registry → rockpi_54: 38.15 MB in 0.33 s
  registry → rockpi_55: 38.15 MB in 0.33 s
  registry → rockpi_56: 220.30 MB in 2.55 s
  registry → rockpi_57: 38.15 MB in 0.34 s
  registry → rockpi_58: 38.15 MB in 0.33 s
  registry → rockpi_59: 220.30 MB in 1.91 s
  registry → rockpi_6: 38.15 MB in 0.33 s
  registry → rockpi_60: 38.15 MB in 0.33 s
  registry → rockpi_61: 38.15 MB in 0.33 s
  registry → rockpi_62: 38.15 MB in 0.33 s
  registry → rockpi_63: 38.15 MB in 0.33 s
  registry → rockpi_64: 38.15 MB in 0.33 s
  registry → rockpi_65: 182.15 MB in 1.58 s
  registry → rockpi_66: 38.15 MB in 0.34 s
  registry → rockpi_67: 182.15 MB in 1.58 s
  registry → rockpi_68: 220.30 MB in 2.56 s
  registry → rockpi_69: 220.30 MB in 1.92 s
  registry → rockpi_7: 220.30 MB in 1.91 s
  registry → rockpi_70: 38.15 MB in 0.33 s
  registry → rockpi_71: 38.15 MB in 0.33 s
  registry → rockpi_72: 38.15 MB in 0.33 s
  registry → rockpi_73: 182.15 MB in 1.58 s
  registry → rockpi_74: 38.15 MB in 318.92 s
  registry → rockpi_75: 38.15 MB in 0.33 s
  registry → rockpi_76: 38.15 MB in 0.34 s
  registry → rockpi_77: 38.15 MB in 0.33 s
  registry → rockpi_78: 220.30 MB in 2.56 s
  registry → rockpi_79: 182.15 MB in 1.58 s
  registry → rockpi_8: 182.15 MB in 1.58 s
  registry → rockpi_80: 182.15 MB in 1.58 s
  registry → rockpi_81: 38.15 MB in 0.33 s
  registry → rockpi_82: 38.15 MB in 0.33 s
  registry → rockpi_83: 38.15 MB in 0.33 s
  registry → rockpi_84: 38.15 MB in 0.33 s
  registry → rockpi_85: 38.15 MB in 0.33 s
  registry → rockpi_86: 182.15 MB in 1.65 s
  registry → rockpi_87: 220.30 MB in 1.92 s
  registry → rockpi_88: 220.30 MB in 1.91 s
