FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-31 16:58:49

Total deployment events: 3423
Number of node-function combinations: 1152

Event Type Summary:
  Deployment events: 7
  Replica events: 2828
  Network events: 588

CHRONOLOGICAL TIMELINE
======================

t=  21.1s | network    | registry → rpi3_12   | unknown                   | docker_pull (52.5 MB)
t=  21.2s | network    | registry → rpi3_13   | unknown                   | docker_pull (52.5 MB)
t=  21.3s | network    | registry → rpi3_14   | unknown                   | docker_pull (52.5 MB)
t=  21.4s | network    | registry → rpi3_63   | unknown                   | docker_pull (52.5 MB)
t=  21.5s | network    | registry → rpi4_33   | unknown                   | docker_pull (52.5 MB)
t=  21.6s | network    | registry → rpi4_42   | unknown                   | docker_pull (19.1 MB)
t=  21.7s | network    | registry → rpi3_64   | unknown                   | docker_pull (52.5 MB)
t=  21.8s | network    | registry → rpi3_65   | unknown                   | docker_pull (52.5 MB)
t=  21.9s | network    | registry → rockpi_21 | unknown                   | docker_pull (59.1 MB)
t=  22.0s | replica    | rpi4_172             | python-pi                 | startup replica of python-pi
t=  22.0s | network    | registry → rockpi_115 | unknown                   | docker_pull (59.1 MB)
t=  22.1s | network    | registry → rpi4_43   | unknown                   | docker_pull (19.1 MB)
t=  22.2s | network    | registry → rockpi_102 | unknown                   | docker_pull (59.1 MB)
t=  22.3s | network    | registry → coral_1   | unknown                   | docker_pull (59.1 MB)
t=  22.4s | network    | registry → coral_2   | unknown                   | docker_pull (59.1 MB)
t=  22.5s | network    | registry → rpi4_29   | unknown                   | docker_pull (19.1 MB)
t=  22.6s | network    | registry → rpi4_28   | unknown                   | docker_pull (19.1 MB)
t=  22.7s | network    | registry → rockpi_75 | unknown                   | docker_pull (59.1 MB)
t=  22.8s | network    | registry → rockpi_133 | unknown                   | docker_pull (59.1 MB)
t=  22.9s | network    | registry → rpi4_28   | unknown                   | docker_pull (52.5 MB)
t=  23.0s | replica    | rpi4_172             | python-pi                 | setup replica of python-pi
t=  23.0s | network    | registry → rpi3_171  | unknown                   | docker_pull (19.1 MB)
t=  23.1s | network    | registry → rockpi_22 | unknown                   | docker_pull (59.1 MB)
t=  23.2s | network    | registry → rockpi_20 | unknown                   | docker_pull (59.1 MB)
t=  23.3s | network    | registry → rockpi_84 | unknown                   | docker_pull (59.1 MB)
t=  23.4s | network    | registry → rpi3_191  | unknown                   | docker_pull (19.1 MB)
t=  23.5s | network    | registry → rpi3_172  | unknown                   | docker_pull (52.5 MB)
t=  23.6s | network    | registry → rpi3_173  | unknown                   | docker_pull (52.5 MB)
t=  23.7s | network    | registry → rpi3_189  | unknown                   | docker_pull (52.5 MB)
t=  23.8s | network    | registry → rpi3_190  | unknown                   | docker_pull (52.5 MB)
t=  23.9s | network    | registry → rpi3_147  | unknown                   | docker_pull (19.1 MB)
t=  24.0s | replica    | rpi4_172             | python-pi                 | finish replica of python-pi
t=  24.0s | network    | registry → rpi3_228  | unknown                   | docker_pull (52.5 MB)
t=  24.1s | network    | registry → rpi3_229  | unknown                   | docker_pull (52.5 MB)
t=  24.2s | network    | registry → rpi3_230  | unknown                   | docker_pull (52.5 MB)
t=  24.3s | network    | registry → rockpi_64 | unknown                   | docker_pull (59.1 MB)
t=  24.4s | network    | registry → rpi3_133  | unknown                   | docker_pull (19.1 MB)
t=  24.5s | network    | registry → rpi3_148  | unknown                   | docker_pull (52.5 MB)
t=  24.6s | network    | registry → rpi3_149  | unknown                   | docker_pull (52.5 MB)
t=  24.7s | network    | registry → rpi3_132  | unknown                   | docker_pull (52.5 MB)
t=  24.8s | network    | registry → rockpi_73 | unknown                   | docker_pull (59.1 MB)
t=  24.9s | network    | registry → rpi4_44   | unknown                   | docker_pull (19.1 MB)
t=  25.0s | replica    | rpi4_173             | python-pi-downtown        | startup replica of python-pi-downtown
t=  25.0s | network    | registry → rpi3_134  | unknown                   | docker_pull (52.5 MB)
t=  25.1s | network    | registry → rpi4_45   | unknown                   | docker_pull (52.5 MB)
t=  25.2s | network    | registry → rpi4_166  | unknown                   | docker_pull (52.5 MB)
t=  25.3s | network    | registry → rpi4_167  | unknown                   | docker_pull (52.5 MB)
t=  25.4s | network    | registry → rpi4_44   | unknown                   | docker_pull (52.5 MB)
t=  25.5s | network    | registry → rpi4_45   | unknown                   | docker_pull (19.1 MB)
t=  25.6s | network    | registry → rpi4_166  | unknown                   | docker_pull (19.1 MB)
t=  25.7s | network    | registry → rpi3_237  | unknown                   | docker_pull (52.5 MB)
t=  25.8s | network    | registry → rpi3_238  | unknown                   | docker_pull (52.5 MB)
t=  25.9s | network    | registry → rpi3_239  | unknown                   | docker_pull (52.5 MB)
t=  26.0s | replica    | rpi4_173             | python-pi-downtown        | setup replica of python-pi-downtown
t=  26.0s | network    | registry → rockpi_78 | unknown                   | docker_pull (59.1 MB)
t=  26.1s | network    | registry → rpi4_167  | unknown                   | docker_pull (19.1 MB)
t=  26.2s | network    | registry → rpi4_216  | unknown                   | docker_pull (19.1 MB)
t=  26.3s | network    | registry → rpi4_217  | unknown                   | docker_pull (52.5 MB)
t=  26.4s | network    | registry → rockpi_87 | unknown                   | docker_pull (59.1 MB)
t=  26.5s | network    | registry → rockpi_54 | unknown                   | docker_pull (59.1 MB)
t=  26.6s | network    | registry → rpi4_216  | unknown                   | docker_pull (52.5 MB)
t=  26.7s | network    | registry → rpi4_217  | unknown                   | docker_pull (19.1 MB)
t=  26.8s | network    | registry → rpi4_98   | unknown                   | docker_pull (19.1 MB)
t=  26.9s | network    | registry → rpi4_99   | unknown                   | docker_pull (52.5 MB)
t=  27.0s | replica    | rpi4_173             | python-pi-downtown        | finish replica of python-pi-downtown
t=  27.0s | network    | registry → rockpi_128 | unknown                   | docker_pull (59.1 MB)
t=  27.1s | network    | registry → rpi4_98   | unknown                   | docker_pull (52.5 MB)
t=  27.2s | network    | registry → rpi4_99   | unknown                   | docker_pull (19.1 MB)
t=  27.3s | network    | registry → rpi4_62   | unknown                   | docker_pull (19.1 MB)
t=  27.4s | network    | registry → rpi3_114  | unknown                   | docker_pull (52.5 MB)
t=  27.5s | network    | registry → rpi3_115  | unknown                   | docker_pull (52.5 MB)
t=  27.6s | network    | registry → rpi3_116  | unknown                   | docker_pull (52.5 MB)
t=  27.7s | network    | registry → rockpi_6  | unknown                   | docker_pull (59.1 MB)
t=  27.8s | network    | registry → rpi4_63   | unknown                   | docker_pull (19.1 MB)
t=  27.9s | network    | registry → rpi4_200  | unknown                   | docker_pull (52.5 MB)
t=  28.0s | replica    | coral_12             | python-pi                 | deploy replica of python-pi
t=  28.0s | network    | registry → rpi4_201  | unknown                   | docker_pull (52.5 MB)
t=  28.1s | network    | registry → rockpi_98 | unknown                   | docker_pull (59.1 MB)
t=  28.2s | network    | registry → rpi4_63   | unknown                   | docker_pull (52.5 MB)
t=  28.3s | network    | registry → rpi4_200  | unknown                   | docker_pull (19.1 MB)
t=  28.4s | network    | registry → rpi4_201  | unknown                   | docker_pull (19.1 MB)
t=  28.5s | network    | registry → rpi4_186  | unknown                   | docker_pull (52.5 MB)
t=  28.6s | network    | registry → rpi4_187  | unknown                   | docker_pull (52.5 MB)
t=  28.7s | network    | registry → rpi3_42   | unknown                   | docker_pull (52.5 MB)
t=  28.8s | network    | registry → rpi3_43   | unknown                   | docker_pull (52.5 MB)
