FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  rockpi_91: 30 invocations (0.2%)
  rpi4_76: 43 invocations (0.3%)
  rpi4_104: 38 invocations (0.2%)
  rpi3_49: 15 invocations (0.1%)
  rockpi_82: 30 invocations (0.2%)
  rpi4_232: 43 invocations (0.3%)
  rpi3_48: 15 invocations (0.1%)
  rpi4_190: 40 invocations (0.2%)
  rpi3_50: 14 invocations (0.1%)
  rpi4_191: 18 invocations (0.1%)
  rpi4_86: 42 invocations (0.3%)
  rpi4_170: 38 invocations (0.2%)
  rpi4_229: 18 invocations (0.1%)
  rockpi_45: 27 invocations (0.2%)
  rpi4_87: 19 invocations (0.1%)
  rpi4_233: 19 invocations (0.1%)
  rpi4_228: 39 invocations (0.2%)
  rpi4_171: 18 invocations (0.1%)
  rpi3_0: 13 invocations (0.1%)
  rockpi_76: 26 invocations (0.2%)
  rpi3_193: 13 invocations (0.1%)
  rpi3_192: 13 invocations (0.1%)
  rockpi_71: 26 invocations (0.2%)
  rpi3_57: 13 invocations (0.1%)
  rpi4_92: 37 invocations (0.2%)
  rpi3_1: 13 invocations (0.1%)
  rpi3_2: 13 invocations (0.1%)
  rockpi_116: 24 invocations (0.1%)
  rpi3_194: 12 invocations (0.1%)
  rpi3_59: 12 invocations (0.1%)
  rpi4_129: 16 invocations (0.1%)
  rpi3_58: 12 invocations (0.1%)
  rpi3_158: 12 invocations (0.1%)
  rpi4_128: 36 invocations (0.2%)
  rpi3_157: 12 invocations (0.1%)
  rpi3_112: 12 invocations (0.1%)
  rpi3_130: 12 invocations (0.1%)
  rpi4_93: 16 invocations (0.1%)
  rpi3_156: 12 invocations (0.1%)
  rpi3_113: 12 invocations (0.1%)
  rpi3_111: 11 invocations (0.1%)
  rpi3_83: 11 invocations (0.1%)
  rpi3_129: 11 invocations (0.1%)
  rockpi_105: 22 invocations (0.1%)
  rpi4_123: 15 invocations (0.1%)
  rpi3_82: 11 invocations (0.1%)
  rpi4_122: 34 invocations (0.2%)
  rpi3_81: 11 invocations (0.1%)
  rockpi_61: 22 invocations (0.1%)
  rockpi_60: 21 invocations (0.1%)
  rpi3_131: 11 invocations (0.1%)
  rpi3_53: 11 invocations (0.1%)
  rockpi_69: 20 invocations (0.1%)
  rockpi_12: 20 invocations (0.1%)
  rpi4_15: 13 invocations (0.1%)
  rpi4_14: 31 invocations (0.2%)
  rpi3_106: 10 invocations (0.1%)
  rpi3_107: 10 invocations (0.1%)
  rpi3_98: 10 invocations (0.1%)
  rpi3_105: 10 invocations (0.1%)
  rpi3_214: 10 invocations (0.1%)
  rpi3_51: 28 invocations (0.2%)
  rpi3_52: 27 invocations (0.2%)
  rpi4_134: 12 invocations (0.1%)
  rpi3_97: 9 invocations (0.1%)
  rockpi_4: 18 invocations (0.1%)
  rockpi_118: 18 invocations (0.1%)
  rpi3_215: 9 invocations (0.1%)
  rockpi_50: 17 invocations (0.1%)
  rpi4_151: 27 invocations (0.2%)
  rpi3_96: 9 invocations (0.1%)
  rockpi_107: 18 invocations (0.1%)
  rpi3_236: 9 invocations (0.1%)
  rpi4_135: 26 invocations (0.2%)
  rpi4_189: 25 invocations (0.1%)
  rpi3_213: 25 invocations (0.1%)
  rpi4_150: 23 invocations (0.1%)
  rockpi_80: 16 invocations (0.1%)
  rpi4_188: 11 invocations (0.1%)
  rockpi_134: 16 invocations (0.1%)
  rpi3_92: 8 invocations (0.0%)
  rpi3_235: 8 invocations (0.0%)
  rpi3_22: 8 invocations (0.0%)
  rpi3_21: 8 invocations (0.0%)
  rpi3_91: 8 invocations (0.0%)
  rpi3_23: 8 invocations (0.0%)
  rockpi_10: 15 invocations (0.1%)
  rpi4_240: 10 invocations (0.1%)
  rockpi_70: 14 invocations (0.1%)
  rockpi_79: 14 invocations (0.1%)
  rpi3_234: 22 invocations (0.1%)
  rockpi_106: 14 invocations (0.1%)
  rpi4_174: 20 invocations (0.1%)
  rpi4_241: 21 invocations (0.1%)
  rpi3_126: 7 invocations (0.0%)
  rpi4_221: 9 invocations (0.1%)
  rpi3_128: 7 invocations (0.0%)
  rpi3_90: 18 invocations (0.1%)
  rockpi_122: 13 invocations (0.1%)
  rpi4_175: 9 invocations (0.1%)
  rockpi_35: 12 invocations (0.1%)
  rockpi_8: 12 invocations (0.1%)
  rockpi_52: 12 invocations (0.1%)
