FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-19 03:58:07

Total deployment events: 2092
Number of node-function combinations: 459

Event Type Summary:
  Deployment events: 6
  Replica events: 1338
  Network events: 748

CHRONOLOGICAL TIMELINE
======================

t=  15.9s | network    | rockpi_4 → nano_27   | unknown                   | data_download (55.3 MB)
t=  16.0s | replica    | nano_3               | resnet50-training         | startup replica of resnet50-training
t=  16.0s | network    | rockpi_4 → nano_27   | unknown                   | data_download (55.3 MB)
t=  16.1s | network    | rockpi_4 → nano_27   | unknown                   | data_download (55.3 MB)
t=  16.2s | network    | rockpi_4 → nano_27   | unknown                   | data_download (55.3 MB)
t=  16.3s | network    | registry → rpi3_29   | unknown                   | docker_pull (19.1 MB)
t=  16.4s | network    | registry → rockpi_10 | unknown                   | docker_pull (38.1 MB)
t=  16.5s | network    | registry → nx_6      | unknown                   | docker_pull (95.4 MB)
t=  16.6s | network    | registry → nano_14   | unknown                   | docker_pull (95.4 MB)
t=  16.7s | network    | registry → rockpi_10 | unknown                   | docker_pull (59.1 MB)
t=  16.8s | network    | rockpi_4 → rockpi_10 | unknown                   | data_download (45.8 MB)
t=  16.9s | network    | rockpi_4 → nx_6      | unknown                   | data_download (98.2 MB)
t=  17.0s | replica    | nano_3               | resnet50-training         | setup replica of resnet50-training
t=  17.0s | network    | rockpi_4 → nano_14   | unknown                   | data_download (55.3 MB)
t=  17.1s | network    | rockpi_4 → nano_14   | unknown                   | data_download (55.3 MB)
t=  17.2s | network    | rockpi_4 → nano_14   | unknown                   | data_download (55.3 MB)
t=  17.3s | network    | rockpi_4 → nano_14   | unknown                   | data_download (55.3 MB)
t=  17.4s | network    | registry → nx_7      | unknown                   | docker_pull (38.1 MB)
t=  17.5s | network    | registry → rockpi_0  | unknown                   | docker_pull (59.1 MB)
t=  17.6s | network    | rockpi_4 → nx_7      | unknown                   | data_download (45.8 MB)
t=  17.7s | network    | registry → nano_23   | unknown                   | docker_pull (95.4 MB)
t=  17.8s | network    | registry → nano_24   | unknown                   | docker_pull (95.4 MB)
t=  17.9s | network    | rockpi_4 → nano_24   | unknown                   | data_download (55.3 MB)
t=  18.0s | replica    | nano_3               | resnet50-training         | finish replica of resnet50-training
t=  18.0s | network    | rockpi_4 → nano_23   | unknown                   | data_download (98.2 MB)
t=  18.1s | network    | rockpi_4 → nano_24   | unknown                   | data_download (55.3 MB)
t=  18.2s | network    | rockpi_4 → nano_24   | unknown                   | data_download (55.3 MB)
t=  18.3s | network    | rockpi_4 → nano_24   | unknown                   | data_download (55.3 MB)
t=  18.4s | network    | registry → rpi3_0    | unknown                   | docker_pull (19.1 MB)
t=  18.5s | network    | registry → rockpi_0  | unknown                   | docker_pull (38.1 MB)
t=  18.6s | network    | registry → rockpi_28 | unknown                   | docker_pull (59.1 MB)
t=  18.7s | network    | rockpi_4 → rockpi_0  | unknown                   | data_download (45.8 MB)
t=  18.8s | network    | registry → nx_2      | unknown                   | docker_pull (95.4 MB)
t=  18.9s | network    | registry → nx_9      | unknown                   | docker_pull (95.4 MB)
t=  19.0s | replica    | rockpi_30            | speech-inference          | finish replica of speech-inference
t=  19.0s | network    | rockpi_4 → nx_2      | unknown                   | data_download (98.2 MB)
t=  19.1s | network    | rockpi_4 → nx_9      | unknown                   | data_download (55.3 MB)
t=  19.2s | network    | rockpi_4 → nx_9      | unknown                   | data_download (55.3 MB)
t=  19.3s | network    | rockpi_4 → nx_9      | unknown                   | data_download (55.3 MB)
t=  19.4s | network    | rockpi_4 → nx_9      | unknown                   | data_download (55.3 MB)
t=  19.5s | network    | registry → rockpi_28 | unknown                   | docker_pull (38.1 MB)
t=  19.6s | network    | registry → nx_11     | unknown                   | docker_pull (59.1 MB)
t=  19.7s | network    | rockpi_4 → rockpi_28 | unknown                   | data_download (45.8 MB)
t=  19.8s | network    | registry → nano_13   | unknown                   | docker_pull (95.4 MB)
t=  19.9s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=  20.0s | replica    | nx_10                | resnet50-inference        | finish replica of resnet50-inference
t=  20.0s | network    | rockpi_4 → nx_0      | unknown                   | data_download (55.3 MB)
t=  20.1s | network    | rockpi_4 → nano_13   | unknown                   | data_download (98.2 MB)
t=  20.2s | network    | rockpi_4 → nx_0      | unknown                   | data_download (55.3 MB)
t=  20.3s | network    | rockpi_4 → nx_0      | unknown                   | data_download (55.3 MB)
t=  20.4s | network    | rockpi_4 → nx_0      | unknown                   | data_download (55.3 MB)
t=  20.5s | network    | registry → rpi3_1    | unknown                   | docker_pull (19.1 MB)
t=  20.6s | network    | registry → rockpi_4  | unknown                   | docker_pull (38.1 MB)
t=  20.7s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=  20.8s | network    | registry → nano_25   | unknown                   | docker_pull (95.4 MB)
t=  20.9s | network    | registry → rockpi_4  | unknown                   | docker_pull (59.1 MB)
t=  21.0s | replica    | rockpi_30            | resnet50-preprocessing    | startup replica of resnet50-preprocessing
t=  21.0s | network    | rockpi_4 → nano_25   | unknown                   | data_download (55.3 MB)
t=  21.1s | network    | rockpi_4 → nx_1      | unknown                   | data_download (98.2 MB)
t=  21.2s | network    | rockpi_4 → nano_25   | unknown                   | data_download (55.3 MB)
t=  21.3s | network    | rockpi_4 → nano_25   | unknown                   | data_download (55.3 MB)
t=  21.4s | network    | rockpi_4 → nano_25   | unknown                   | data_download (55.3 MB)
