FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-05 14:26:30

Total deployment events: 6324
Number of node-function combinations: 1848

Event Type Summary:
  Deployment events: 19
  Replica events: 4869
  Network events: 1436

CHRONOLOGICAL TIMELINE
======================

t=  11.1s | network    | registry → nano_17   | unknown                   | docker_pull (95.4 MB)
t=  11.2s | network    | registry → nano_23   | unknown                   | docker_pull (95.4 MB)
t=  11.3s | network    | registry → nano_37   | unknown                   | docker_pull (95.4 MB)
t=  11.4s | network    | registry → nano_42   | unknown                   | docker_pull (95.4 MB)
t=  11.5s | network    | registry → nx_49     | unknown                   | docker_pull (95.4 MB)
t=  11.6s | network    | registry → nano_32   | unknown                   | docker_pull (95.4 MB)
t=  11.7s | network    | registry → rockpi_30 | unknown                   | docker_pull (59.1 MB)
t=  11.8s | network    | registry → rockpi_31 | unknown                   | docker_pull (182.2 MB)
t=  11.9s | network    | registry → rockpi_30 | unknown                   | docker_pull (182.2 MB)
t=  12.0s | replica    | nx_0                 | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t=  12.0s | network    | registry → rpi3_96   | unknown                   | docker_pull (19.1 MB)
t=  12.1s | network    | registry → rockpi_14 | unknown                   | docker_pull (38.1 MB)
t=  12.2s | network    | registry → nx_3      | unknown                   | docker_pull (38.1 MB)
t=  12.3s | network    | registry → nx_36     | unknown                   | docker_pull (59.1 MB)
t=  12.4s | network    | registry → rockpi_92 | unknown                   | docker_pull (59.1 MB)
t=  12.5s | network    | registry → nano_41   | unknown                   | docker_pull (95.4 MB)
t=  12.6s | network    | registry → nx_10     | unknown                   | docker_pull (95.4 MB)
t=  12.7s | network    | registry → nano_36   | unknown                   | docker_pull (95.4 MB)
t=  12.8s | network    | registry → nano_27   | unknown                   | docker_pull (95.4 MB)
t=  12.9s | network    | registry → nx_9      | unknown                   | docker_pull (95.4 MB)
t=  13.0s | replica    | nx_1                 | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t=  13.0s | network    | registry → nx_33     | unknown                   | docker_pull (95.4 MB)
t=  13.1s | network    | registry → nano_14   | unknown                   | docker_pull (95.4 MB)
t=  13.2s | network    | registry → nano_21   | unknown                   | docker_pull (95.4 MB)
t=  13.3s | network    | registry → rockpi_72 | unknown                   | docker_pull (182.2 MB)
t=  13.4s | network    | rpi3_81 → nano_20    | unknown                   | data_download (55.3 MB)
t=  13.5s | network    | rpi3_81 → nx_3       | unknown                   | data_download (55.3 MB)
t=  13.6s | network    | registry → rpi3_99   | unknown                   | docker_pull (19.1 MB)
t=  13.7s | network    | registry → rpi3_100  | unknown                   | docker_pull (19.1 MB)
t=  13.8s | network    | registry → rpi3_97   | unknown                   | docker_pull (31.5 MB)
t=  13.9s | network    | registry → rpi3_98   | unknown                   | docker_pull (31.5 MB)
t=  14.0s | replica    | nx_52                | resnet50-training-industrial | deploy replica of resnet50-training-industrial
t=  14.0s | network    | registry → rockpi_57 | unknown                   | docker_pull (59.1 MB)
t=  14.1s | network    | registry → rockpi_82 | unknown                   | docker_pull (59.1 MB)
t=  14.2s | network    | registry → rockpi_19 | unknown                   | docker_pull (38.1 MB)
t=  14.3s | network    | registry → nano_18   | unknown                   | docker_pull (95.4 MB)
t=  14.4s | network    | registry → nano_26   | unknown                   | docker_pull (95.4 MB)
t=  14.5s | network    | registry → nx_22     | unknown                   | docker_pull (95.4 MB)
t=  14.6s | network    | registry → nx_47     | unknown                   | docker_pull (95.4 MB)
t=  14.7s | network    | registry → nano_82   | unknown                   | docker_pull (95.4 MB)
t=  14.8s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=  14.9s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=  15.0s | replica    | coral_22             | python-pi                 | deploy replica of python-pi
t=  15.0s | network    | registry → nx_8      | unknown                   | docker_pull (95.4 MB)
t=  15.1s | network    | rpi3_81 → nx_52      | unknown                   | data_download (55.3 MB)
t=  15.2s | network    | registry → nx_32     | unknown                   | docker_pull (182.2 MB)
t=  15.3s | network    | registry → rockpi_19 | unknown                   | docker_pull (182.2 MB)
t=  15.4s | network    | rpi3_81 → nano_20    | unknown                   | data_download (55.3 MB)
t=  15.5s | network    | rpi3_81 → rpi3_44    | unknown                   | data_download (45.8 MB)
t=  15.6s | network    | rpi3_81 → rpi3_43    | unknown                   | data_download (45.8 MB)
t=  15.7s | network    | rpi3_81 → rpi3_42    | unknown                   | data_download (45.8 MB)
t=  15.8s | network    | registry → rpi3_101  | unknown                   | docker_pull (19.1 MB)
t=  15.9s | network    | registry → rockpi_82 | unknown                   | docker_pull (38.1 MB)
t=  16.0s | replica    | rockpi_48            | python-pi-downtown        | deploy replica of python-pi-downtown
t=  16.0s | network    | registry → nx_19     | unknown                   | docker_pull (38.1 MB)
t=  16.1s | network    | registry → nx_20     | unknown                   | docker_pull (38.1 MB)
t=  16.2s | network    | rpi3_81 → nx_0       | unknown                   | data_download (55.3 MB)
t=  16.3s | network    | registry → rockpi_58 | unknown                   | docker_pull (59.1 MB)
t=  16.4s | network    | registry → nx_25     | unknown                   | docker_pull (95.4 MB)
t=  16.5s | network    | registry → nano_15   | unknown                   | docker_pull (95.4 MB)
t=  16.6s | network    | registry → nano_38   | unknown                   | docker_pull (95.4 MB)
t=  16.7s | network    | registry → nano_74   | unknown                   | docker_pull (95.4 MB)
t=  16.8s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=  16.9s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=  17.0s | replica    | rockpi_48            | python-pi-suburb          | deploy replica of python-pi-suburb
t=  17.0s | network    | registry → nx_16     | unknown                   | docker_pull (95.4 MB)
t=  17.1s | network    | registry → nano_50   | unknown                   | docker_pull (95.4 MB)
t=  17.2s | network    | registry → rockpi_16 | unknown                   | docker_pull (59.1 MB)
t=  17.3s | network    | registry → nx_31     | unknown                   | docker_pull (182.2 MB)
t=  17.4s | network    | rpi3_81 → nx_1       | unknown                   | data_download (55.3 MB)
t=  17.5s | network    | registry → rockpi_16 | unknown                   | docker_pull (182.2 MB)
t=  17.6s | network    | rpi3_81 → nx_3       | unknown                   | data_download (55.3 MB)
t=  17.7s | network    | rpi3_81 → nx_2       | unknown                   | data_download (55.3 MB)
t=  17.8s | network    | registry → rpi3_48   | unknown                   | docker_pull (19.1 MB)
t=  17.9s | network    | registry → rpi3_49   | unknown                   | docker_pull (19.1 MB)
t=  18.0s | replica    | rockpi_48            | python-pi-suburb          | startup replica of python-pi-suburb
t=  18.0s | network    | registry → rpi3_12   | unknown                   | docker_pull (31.5 MB)
t=  18.1s | network    | registry → rpi3_13   | unknown                   | docker_pull (31.5 MB)
t=  18.2s | network    | registry → coral_16  | unknown                   | docker_pull (38.1 MB)
t=  18.3s | network    | registry → rockpi_119 | unknown                   | docker_pull (59.1 MB)
t=  18.4s | network    | registry → nano_55   | unknown                   | docker_pull (95.4 MB)
t=  18.5s | network    | registry → nx_15     | unknown                   | docker_pull (95.4 MB)
t=  18.6s | network    | registry → nano_52   | unknown                   | docker_pull (95.4 MB)
t=  18.7s | network    | registry → nx_54     | unknown                   | docker_pull (95.4 MB)
t=  18.8s | network    | registry → nano_25   | unknown                   | docker_pull (95.4 MB)
t=  18.9s | network    | registry → nano_79   | unknown                   | docker_pull (95.4 MB)
t=  19.0s | replica    | rockpi_48            | python-pi-suburb          | setup replica of python-pi-suburb
t=  19.0s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=  19.1s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=  19.2s | network    | registry → rockpi_65 | unknown                   | docker_pull (59.1 MB)
t=  19.3s | network    | registry → rpi3_14   | unknown                   | docker_pull (130.7 MB)
t=  19.4s | network    | registry → rockpi_65 | unknown                   | docker_pull (182.2 MB)
t=  19.5s | network    | rpi3_81 → nx_52      | unknown                   | data_download (55.3 MB)
t=  19.6s | network    | rpi3_81 → nano_1     | unknown                   | data_download (55.3 MB)
t=  19.7s | network    | rpi3_81 → nx_2       | unknown                   | data_download (55.3 MB)
t=  19.8s | network    | registry → rpi3_30   | unknown                   | docker_pull (19.1 MB)
t=  19.9s | network    | registry → nx_12     | unknown                   | docker_pull (38.1 MB)
t=  20.0s | replica    | rockpi_48            | python-pi-suburb          | finish replica of python-pi-suburb
t=  20.0s | network    | registry → nx_39     | unknown                   | docker_pull (38.1 MB)
t=  20.1s | network    | registry → coral_9   | unknown                   | docker_pull (38.1 MB)
t=  20.2s | network    | registry → rpi3_50   | unknown                   | docker_pull (52.5 MB)
t=  20.3s | network    | registry → rockpi_10 | unknown                   | docker_pull (59.1 MB)
t=  20.4s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=  20.5s | network    | registry → nx_21     | unknown                   | docker_pull (95.4 MB)
t=  20.6s | network    | registry → nano_39   | unknown                   | docker_pull (95.4 MB)
t=  20.7s | network    | registry → nano_59   | unknown                   | docker_pull (95.4 MB)
t=  20.8s | network    | registry → nano_62   | unknown                   | docker_pull (95.4 MB)
t=  20.9s | network    | registry → nano_78   | unknown                   | docker_pull (95.4 MB)
t=  21.0s | replica    | rpi3_93              | fio                       | deploy replica of fio
t=  21.0s | network    | registry → nx_13     | unknown                   | docker_pull (95.4 MB)
t=  21.1s | network    | registry → nano_75   | unknown                   | docker_pull (95.4 MB)
t=  21.2s | network    | registry → rockpi_17 | unknown                   | docker_pull (182.2 MB)
t=  21.3s | network    | rpi3_81 → nano_20    | unknown                   | data_download (55.3 MB)
t=  21.4s | network    | rpi3_81 → nx_3       | unknown                   | data_download (55.3 MB)
t=  21.5s | network    | rpi3_81 → nx_1       | unknown                   | data_download (55.3 MB)
t=  21.6s | network    | rpi3_81 → rockpi_91  | unknown                   | data_download (45.8 MB)
t=  21.7s | network    | registry → rpi3_0    | unknown                   | docker_pull (19.1 MB)
t=  21.8s | network    | registry → rpi3_1    | unknown                   | docker_pull (19.1 MB)
t=  21.9s | network    | registry → nx_11     | unknown                   | docker_pull (38.1 MB)
t=  22.0s | replica    | rpi3_93              | fio-downtown              | deploy replica of fio-downtown
t=  22.0s | network    | registry → rockpi_46 | unknown                   | docker_pull (38.1 MB)
t=  22.1s | network    | registry → rockpi_51 | unknown                   | docker_pull (59.1 MB)
t=  22.2s | network    | registry → rockpi_12 | unknown                   | docker_pull (59.1 MB)
t=  22.3s | network    | registry → nano_9    | unknown                   | docker_pull (95.4 MB)
t=  22.4s | network    | registry → nx_48     | unknown                   | docker_pull (95.4 MB)
t=  22.5s | network    | registry → nano_13   | unknown                   | docker_pull (95.4 MB)
t=  22.6s | network    | registry → nano_45   | unknown                   | docker_pull (95.4 MB)
t=  22.7s | network    | registry → nano_65   | unknown                   | docker_pull (95.4 MB)
t=  22.8s | network    | registry → nano_16   | unknown                   | docker_pull (95.4 MB)
t=  22.9s | network    | registry → nano_44   | unknown                   | docker_pull (95.4 MB)
t=  23.0s | replica    | rpi3_93              | fio-downtown              | startup replica of fio-downtown
t=  23.0s | network    | registry → nx_7      | unknown                   | docker_pull (95.4 MB)
t=  23.1s | network    | rpi3_81 → rockpi_91  | unknown                   | data_download (45.8 MB)
t=  23.2s | network    | registry → rpi3_31   | unknown                   | docker_pull (130.7 MB)
t=  23.3s | network    | registry → rpi3_32   | unknown                   | docker_pull (130.7 MB)
t=  23.4s | network    | rpi3_81 → nx_0       | unknown                   | data_download (55.3 MB)
t=  23.5s | network    | rpi3_81 → rockpi_105 | unknown                   | data_download (45.8 MB)
t=  23.6s | network    | rpi3_81 → nano_48    | unknown                   | data_download (98.2 MB)
t=  23.7s | network    | rpi3_81 → nx_20      | unknown                   | data_download (55.3 MB)
t=  23.8s | network    | rpi3_81 → nx_1       | unknown                   | data_download (55.3 MB)
t=  23.9s | network    | registry → rpi3_2    | unknown                   | docker_pull (19.1 MB)
t=  24.0s | replica    | rpi3_93              | fio-downtown              | setup replica of fio-downtown
t=  24.0s | network    | registry → rockpi_12 | unknown                   | docker_pull (38.1 MB)
t=  24.1s | network    | registry → rockpi_47 | unknown                   | docker_pull (38.1 MB)
t=  24.2s | network    | rpi3_81 → nano_1     | unknown                   | data_download (55.3 MB)
t=  24.3s | network    | registry → rockpi_100 | unknown                   | docker_pull (59.1 MB)
t=  24.4s | network    | rpi3_81 → nx_2       | unknown                   | data_download (55.3 MB)
t=  24.5s | network    | registry → nx_43     | unknown                   | docker_pull (95.4 MB)
t=  24.6s | network    | registry → nano_57   | unknown                   | docker_pull (95.4 MB)
t=  24.7s | network    | registry → nx_35     | unknown                   | docker_pull (95.4 MB)
t=  24.8s | network    | registry → nano_19   | unknown                   | docker_pull (95.4 MB)
t=  24.9s | network    | registry → nano_22   | unknown                   | docker_pull (95.4 MB)
t=  25.0s | replica    | rpi3_93              | fio-downtown              | finish replica of fio-downtown
t=  25.0s | network    | registry → nano_81   | unknown                   | docker_pull (95.4 MB)
t=  25.1s | network    | registry → nx_50     | unknown                   | docker_pull (95.4 MB)
t=  25.2s | network    | registry → nano_66   | unknown                   | docker_pull (95.4 MB)
t=  25.3s | network    | registry → rockpi_93 | unknown                   | docker_pull (59.1 MB)
t=  25.4s | network    | rpi3_81 → nx_3       | unknown                   | data_download (55.3 MB)
t=  25.5s | network    | rpi3_81 → nx_20      | unknown                   | data_download (55.3 MB)
t=  25.6s | network    | registry → coral_13  | unknown                   | docker_pull (182.2 MB)
t=  25.7s | network    | rpi3_81 → nano_33    | unknown                   | data_download (98.2 MB)
t=  25.8s | network    | registry → rockpi_93 | unknown                   | docker_pull (182.2 MB)
t=  25.9s | network    | rpi3_81 → nx_19      | unknown                   | data_download (55.3 MB)
t=  26.0s | replica    | rpi3_94              | fio-suburb                | deploy replica of fio-suburb
t=  26.0s | network    | rpi3_81 → nano_29    | unknown                   | data_download (98.2 MB)
t=  26.1s | network    | rpi3_81 → nano_40    | unknown                   | data_download (98.2 MB)
t=  26.2s | network    | rpi3_81 → nx_31      | unknown                   | data_download (55.3 MB)
t=  26.3s | network    | rpi3_81 → nano_63    | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | registry → rpi3_24   | unknown                   | docker_pull (19.1 MB)
t=  26.5s | network    | registry → rpi3_25   | unknown                   | docker_pull (19.1 MB)
t=  26.6s | network    | registry → nx_26     | unknown                   | docker_pull (38.1 MB)
t=  26.7s | network    | registry → coral_26  | unknown                   | docker_pull (38.1 MB)
t=  26.8s | network    | registry → rockpi_90 | unknown                   | docker_pull (59.1 MB)
t=  26.9s | network    | registry → rockpi_60 | unknown                   | docker_pull (59.1 MB)
t=  27.0s | replica    | rpi3_93              | fio                       | startup replica of fio
t=  27.0s | network    | registry → rockpi_26 | unknown                   | docker_pull (38.1 MB)
t=  27.1s | network    | registry → nx_6      | unknown                   | docker_pull (95.4 MB)
t=  27.2s | network    | registry → nx_18     | unknown                   | docker_pull (95.4 MB)
t=  27.3s | network    | registry → nano_24   | unknown                   | docker_pull (95.4 MB)
t=  27.4s | network    | registry → nx_28     | unknown                   | docker_pull (95.4 MB)
t=  27.5s | network    | registry → nano_35   | unknown                   | docker_pull (95.4 MB)
t=  27.6s | network    | registry → nano_73   | unknown                   | docker_pull (95.4 MB)
t=  27.7s | network    | registry → nx_24     | unknown                   | docker_pull (95.4 MB)
t=  27.8s | network    | registry → nano_54   | unknown                   | docker_pull (95.4 MB)
t=  27.9s | network    | registry → nx_49     | unknown                   | docker_pull (182.2 MB)
t=  28.0s | replica    | rpi3_93              | fio                       | setup replica of fio
t=  28.0s | network    | rpi3_81 → nx_20      | unknown                   | data_download (55.3 MB)
t=  28.1s | network    | registry → rockpi_26 | unknown                   | docker_pull (182.2 MB)
t=  28.2s | network    | rpi3_81 → nx_2       | unknown                   | data_download (55.3 MB)
t=  28.3s | network    | rpi3_81 → nx_52      | unknown                   | data_download (55.3 MB)
t=  28.4s | network    | registry → rpi3_111  | unknown                   | docker_pull (19.1 MB)
t=  28.5s | network    | registry → rockpi_60 | unknown                   | docker_pull (38.1 MB)
t=  28.6s | network    | registry → rockpi_116 | unknown                   | docker_pull (38.1 MB)
t=  28.7s | network    | rpi3_81 → rockpi_39  | unknown                   | data_download (45.8 MB)
t=  28.8s | network    | rpi3_81 → rockpi_39  | unknown                   | data_download (45.8 MB)
t=  28.9s | network    | registry → rpi3_26   | unknown                   | docker_pull (52.5 MB)
t=  29.0s | replica    | rpi3_93              | fio                       | finish replica of fio
t=  29.0s | network    | registry → rockpi_38 | unknown                   | docker_pull (59.1 MB)
t=  29.1s | network    | rpi3_81 → nano_63    | unknown                   | data_download (55.3 MB)
t=  29.2s | network    | registry → nano_76   | unknown                   | docker_pull (95.4 MB)
t=  29.3s | network    | registry → nx_14     | unknown                   | docker_pull (95.4 MB)
t=  29.4s | network    | registry → nano_43   | unknown                   | docker_pull (95.4 MB)
t=  29.5s | network    | registry → nx_40     | unknown                   | docker_pull (95.4 MB)
t=  29.6s | network    | registry → nx_29     | unknown                   | docker_pull (95.4 MB)
t=  29.7s | network    | registry → nx_38     | unknown                   | docker_pull (95.4 MB)
t=  29.8s | network    | registry → nx_17     | unknown                   | docker_pull (95.4 MB)
t=  29.9s | network    | registry → nx_51     | unknown                   | docker_pull (95.4 MB)
t=  30.0s | replica    | rpi3_94              | fio-suburb                | startup replica of fio-suburb
