FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 10:46:34

Topology Overview:
  Number of nodes: 240
  Number of functions: 9
  Number of images: 2

Node Distribution:
  nano_6: 65 invocations (0.2%)
  nano_5: 68 invocations (0.2%)
  nano_3: 64 invocations (0.2%)
  nuc_69: 58 invocations (0.2%)
  nano_7: 73 invocations (0.2%)
  xeoncpu_3: 64 invocations (0.2%)
  xeoncpu_1: 111 invocations (0.3%)
  xeoncpu_0: 63 invocations (0.2%)
  xeoncpu_4: 62 invocations (0.2%)
  xeoncpu_2: 49 invocations (0.1%)
  xeoncpu_8: 57 invocations (0.2%)
  xeoncpu_5: 63 invocations (0.2%)
  xeoncpu_7: 83 invocations (0.2%)
  xeoncpu_9: 62 invocations (0.2%)
  xeoncpu_6: 60 invocations (0.2%)
  xeoncpu_10: 109 invocations (0.3%)
  xeoncpu_11: 47 invocations (0.1%)
  xeongpu_0: 60 invocations (0.2%)
  xeoncpu_15: 59 invocations (0.2%)
  xeoncpu_12: 58 invocations (0.2%)
  xeongpu_1: 105 invocations (0.3%)
  xeoncpu_14: 60 invocations (0.2%)
  xeoncpu_16: 80 invocations (0.2%)
  xeoncpu_13: 59 invocations (0.2%)
  xeongpu_2: 45 invocations (0.1%)
  xeoncpu_17: 56 invocations (0.2%)

Function Distribution:
  python-pi-downtown: 3983 invocations (12.0%)
  python-pi: 4032 invocations (12.1%)
  python-pi-industrial: 3983 invocations (12.0%)
  python-pi-suburb: 4051 invocations (12.2%)
  python-pi-residential: 3982 invocations (12.0%)
  python-pi-commercial: 4120 invocations (12.4%)
  python-pi-airport: 3965 invocations (11.9%)
  fio: 4141 invocations (12.5%)
  fio-downtown: 976 invocations (2.9%)
Network Activity:
  Total transfers: 374
  Total bytes transferred: 19492.15 MB
  Transfer duration: 246.51 s

Network Flows:
  registry → coral_0: 59.13 MB in 0.51 s
  registry → coral_1: 59.13 MB in 0.51 s
  registry → coral_2: 59.13 MB in 0.51 s
  registry → nano_0: 81.06 MB in 0.71 s
  registry → nano_1: 59.13 MB in 0.51 s
  registry → nano_10: 81.06 MB in 0.70 s
  registry → nano_11: 59.13 MB in 0.51 s
  registry → nano_12: 81.06 MB in 0.70 s
  registry → nano_13: 81.06 MB in 0.70 s
  registry → nano_14: 81.06 MB in 0.70 s
  registry → nano_15: 81.06 MB in 0.70 s
  registry → nano_16: 81.06 MB in 0.70 s
  registry → nano_17: 81.06 MB in 0.70 s
  registry → nano_18: 81.06 MB in 0.70 s
  registry → nano_19: 81.06 MB in 0.70 s
  registry → nano_2: 81.06 MB in 0.71 s
  registry → nano_20: 81.06 MB in 0.70 s
  registry → nano_21: 81.06 MB in 0.70 s
  registry → nano_22: 81.06 MB in 0.70 s
  registry → nano_3: 59.13 MB in 0.51 s
  registry → nano_4: 59.13 MB in 0.51 s
  registry → nano_5: 59.13 MB in 0.51 s
  registry → nano_6: 59.13 MB in 0.51 s
  registry → nano_7: 81.06 MB in 0.71 s
  registry → nano_8: 81.06 MB in 0.70 s
  registry → nano_9: 81.06 MB in 0.70 s
  registry → nuc_0: 83.92 MB in 0.73 s
  registry → nuc_1: 83.92 MB in 0.73 s
  registry → nuc_10: 106.81 MB in 0.93 s
  registry → nuc_11: 83.92 MB in 0.73 s
  registry → nuc_12: 83.92 MB in 0.73 s
  registry → nuc_13: 83.92 MB in 0.73 s
  registry → nuc_14: 83.92 MB in 0.73 s
  registry → nuc_15: 83.92 MB in 0.73 s
  registry → nuc_16: 106.81 MB in 0.93 s
  registry → nuc_17: 106.81 MB in 0.93 s
  registry → nuc_18: 83.92 MB in 0.73 s
  registry → nuc_19: 106.81 MB in 0.93 s
  registry → nuc_2: 83.92 MB in 0.73 s
  registry → nuc_20: 83.92 MB in 0.73 s
  registry → nuc_21: 106.81 MB in 0.93 s
  registry → nuc_22: 106.81 MB in 0.93 s
  registry → nuc_23: 106.81 MB in 0.93 s
  registry → nuc_24: 83.92 MB in 0.73 s
  registry → nuc_25: 83.92 MB in 0.73 s
  registry → nuc_26: 106.81 MB in 0.93 s
  registry → nuc_27: 106.81 MB in 0.93 s
  registry → nuc_28: 83.92 MB in 0.73 s
  registry → nuc_29: 106.81 MB in 0.93 s
  registry → nuc_3: 83.92 MB in 0.73 s
  registry → nuc_30: 83.92 MB in 0.73 s
  registry → nuc_31: 83.92 MB in 0.73 s
  registry → nuc_32: 83.92 MB in 0.73 s
  registry → nuc_33: 83.92 MB in 0.73 s
  registry → nuc_34: 83.92 MB in 0.73 s
  registry → nuc_35: 106.81 MB in 0.93 s
  registry → nuc_36: 83.92 MB in 0.73 s
  registry → nuc_37: 83.92 MB in 0.73 s
  registry → nuc_38: 83.92 MB in 0.73 s
  registry → nuc_39: 106.81 MB in 0.93 s
  registry → nuc_4: 106.81 MB in 0.93 s
  registry → nuc_40: 83.92 MB in 0.73 s
  registry → nuc_41: 106.81 MB in 0.93 s
  registry → nuc_42: 83.92 MB in 0.73 s
  registry → nuc_43: 83.92 MB in 0.73 s
  registry → nuc_44: 106.81 MB in 0.93 s
  registry → nuc_45: 83.92 MB in 0.73 s
  registry → nuc_46: 106.81 MB in 0.93 s
  registry → nuc_47: 83.92 MB in 0.73 s
  registry → nuc_48: 106.81 MB in 0.93 s
  registry → nuc_49: 83.92 MB in 0.73 s
  registry → nuc_5: 83.92 MB in 0.73 s
  registry → nuc_50: 83.92 MB in 0.73 s
  registry → nuc_51: 106.81 MB in 0.93 s
  registry → nuc_52: 83.92 MB in 0.73 s
  registry → nuc_53: 83.92 MB in 0.73 s
  registry → nuc_54: 83.92 MB in 0.73 s
  registry → nuc_55: 106.81 MB in 0.93 s
  registry → nuc_56: 106.81 MB in 0.93 s
  registry → nuc_57: 83.92 MB in 0.73 s
  registry → nuc_58: 106.81 MB in 0.93 s
  registry → nuc_59: 83.92 MB in 0.73 s
  registry → nuc_6: 83.92 MB in 0.73 s
  registry → nuc_60: 106.81 MB in 0.93 s
  registry → nuc_61: 83.92 MB in 0.73 s
  registry → nuc_62: 83.92 MB in 0.73 s
  registry → nuc_63: 83.92 MB in 0.73 s
  registry → nuc_64: 106.81 MB in 0.93 s
  registry → nuc_65: 83.92 MB in 0.73 s
  registry → nuc_66: 83.92 MB in 0.73 s
  registry → nuc_67: 83.92 MB in 0.73 s
  registry → nuc_68: 83.92 MB in 0.73 s
  registry → nuc_69: 106.81 MB in 0.93 s
  registry → nuc_7: 106.81 MB in 0.93 s
  registry → nuc_70: 83.92 MB in 0.73 s
  registry → nuc_71: 83.92 MB in 0.73 s
  registry → nuc_72: 83.92 MB in 0.73 s
