FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 05:46:25

Topology Overview:
  Number of nodes: 210
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nuc_5 → nx_5: 98.23 MB in 12.56 s
  nuc_5 → nx_6: 144.00 MB in 3.12 s
  nuc_5 → nx_7: 709.53 MB in 152.52 s
  nuc_5 → nx_8: 98.23 MB in 2.56 s
  nuc_5 → nx_9: 98.23 MB in 2.88 s
  nuc_5 → rockpi_0: 45.78 MB in 0.40 s
  nuc_5 → rockpi_1: 45.78 MB in 2.18 s
  nuc_5 → rockpi_10: 45.78 MB in 0.40 s
  nuc_5 → rockpi_11: 45.78 MB in 0.40 s
  nuc_5 → rockpi_12: 45.78 MB in 1.56 s
  nuc_5 → rockpi_13: 45.78 MB in 0.40 s
  nuc_5 → rockpi_15: 45.78 MB in 1.53 s
  nuc_5 → rockpi_16: 91.55 MB in 8.26 s
  nuc_5 → rockpi_17: 45.78 MB in 1.49 s
  nuc_5 → rockpi_2: 45.78 MB in 0.40 s
  nuc_5 → rockpi_20: 45.78 MB in 8.69 s
  nuc_5 → rockpi_22: 45.78 MB in 17.21 s
  nuc_5 → rockpi_23: 45.78 MB in 7.85 s
  nuc_5 → rockpi_24: 45.78 MB in 9.37 s
  nuc_5 → rockpi_25: 45.78 MB in 0.42 s
  nuc_5 → rockpi_26: 45.78 MB in 0.97 s
  nuc_5 → rockpi_27: 45.78 MB in 23.42 s
  nuc_5 → rockpi_28: 45.78 MB in 25.96 s
  nuc_5 → rockpi_29: 45.78 MB in 11.58 s
  nuc_5 → rockpi_3: 45.78 MB in 26.02 s
  nuc_5 → rockpi_30: 45.78 MB in 24.96 s
  nuc_5 → rockpi_31: 45.78 MB in 4.02 s
  nuc_5 → rockpi_32: 45.78 MB in 3.16 s
  nuc_5 → rockpi_33: 45.78 MB in 4.57 s
  nuc_5 → rockpi_35: 45.78 MB in 10.90 s
  nuc_5 → rockpi_37: 45.78 MB in 19.87 s
  nuc_5 → rockpi_38: 45.78 MB in 7.35 s
  nuc_5 → rockpi_39: 45.78 MB in 24.94 s
  nuc_5 → rockpi_4: 45.78 MB in 14.89 s
  nuc_5 → rockpi_40: 45.78 MB in 25.72 s
  nuc_5 → rockpi_42: 45.78 MB in 4.70 s
  nuc_5 → rockpi_43: 45.78 MB in 0.40 s
  nuc_5 → rockpi_44: 45.78 MB in 0.40 s
  nuc_5 → rockpi_45: 45.78 MB in 26.21 s
  nuc_5 → rockpi_46: 45.78 MB in 18.75 s
  nuc_5 → rockpi_47: 45.78 MB in 25.36 s
  nuc_5 → rockpi_48: 45.78 MB in 1.63 s
  nuc_5 → rockpi_5: 91.55 MB in 2.72 s
  nuc_5 → rockpi_51: 45.78 MB in 0.40 s
  nuc_5 → rockpi_54: 45.78 MB in 21.81 s
  nuc_5 → rockpi_55: 45.78 MB in 4.75 s
  nuc_5 → rockpi_56: 45.78 MB in 8.84 s
  nuc_5 → rockpi_57: 45.78 MB in 0.94 s
  nuc_5 → rockpi_59: 45.78 MB in 0.80 s
  nuc_5 → rockpi_6: 45.78 MB in 1.36 s
  nuc_5 → rockpi_60: 45.78 MB in 1.11 s
  nuc_5 → rockpi_61: 45.78 MB in 11.53 s
  nuc_5 → rockpi_62: 45.78 MB in 13.37 s
  nuc_5 → rockpi_63: 45.78 MB in 22.42 s
  nuc_5 → rockpi_64: 45.78 MB in 0.40 s
  nuc_5 → rockpi_65: 45.78 MB in 17.96 s
  nuc_5 → rockpi_66: 45.78 MB in 1.64 s
  nuc_5 → rockpi_68: 45.78 MB in 0.40 s
  nuc_5 → rockpi_69: 45.78 MB in 8.46 s
  nuc_5 → rockpi_7: 45.78 MB in 21.37 s
  nuc_5 → rockpi_70: 45.78 MB in 25.21 s
  nuc_5 → rockpi_72: 45.78 MB in 3.21 s
  nuc_5 → rockpi_73: 45.78 MB in 3.16 s
  nuc_5 → rockpi_74: 91.55 MB in 7.50 s
  nuc_5 → rockpi_75: 45.78 MB in 1.50 s
  nuc_5 → rockpi_8: 45.78 MB in 12.83 s
  nuc_5 → rockpi_9: 45.78 MB in 1.73 s
  nuc_5 → rpi3_0: 98.23 MB in 18.98 s
  nuc_5 → rpi3_1: 98.23 MB in 18.75 s
  nuc_5 → rpi3_10: 98.23 MB in 33.18 s
  nuc_5 → rpi3_11: 98.23 MB in 41.94 s
