FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 14:20:27

Total deployment events: 2488
Number of node-function combinations: 621

Event Type Summary:
  Deployment events: 8
  Replica events: 1735
  Network events: 745

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   9.8s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=   9.9s | network    | nuc_0 → nano_0       | unknown                   | data_download (55.3 MB)
t=  10.0s | replica    | nx_2                 | resnet50-training-downtown | finish replica of resnet50-training-downtown
t=  10.0s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=  10.1s | network    | registry → nano_9    | unknown                   | docker_pull (95.4 MB)
t=  10.2s | network    | registry → nano_10   | unknown                   | docker_pull (95.4 MB)
t=  10.3s | network    | nuc_0 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.4s | network    | nuc_0 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.5s | network    | nuc_0 → nano_14      | unknown                   | data_download (55.3 MB)
t=  10.6s | network    | nuc_0 → nano_14      | unknown                   | data_download (55.3 MB)
t=  10.7s | network    | registry → rpi4_10   | unknown                   | docker_pull (66.8 MB)
t=  10.8s | network    | registry → rpi4_11   | unknown                   | docker_pull (66.8 MB)
t=  10.9s | network    | registry → rpi3_6    | unknown                   | docker_pull (66.8 MB)
t=  11.0s | replica    | nano_0               | resnet50-inference        | startup replica of resnet50-inference
t=  11.0s | network    | registry → rpi3_7    | unknown                   | docker_pull (66.8 MB)
t=  11.1s | network    | nuc_0 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.2s | network    | nuc_0 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.3s | network    | registry → nuc_8     | unknown                   | docker_pull (190.7 MB)
t=  11.4s | network    | nuc_0 → nano_14      | unknown                   | data_download (55.3 MB)
t=  11.5s | network    | nuc_0 → nano_14      | unknown                   | data_download (55.3 MB)
t=  11.6s | network    | registry → rpi3_8    | unknown                   | docker_pull (66.8 MB)
t=  11.7s | network    | registry → rpi3_18   | unknown                   | docker_pull (66.8 MB)
t=  11.8s | network    | registry → rpi3_19   | unknown                   | docker_pull (66.8 MB)
t=  11.9s | network    | registry → rpi3_20   | unknown                   | docker_pull (66.8 MB)
t=  12.0s | replica    | nano_0               | resnet50-inference        | setup replica of resnet50-inference
t=  12.0s | network    | registry → rpi3_9    | unknown                   | docker_pull (66.8 MB)
t=  12.1s | network    | registry → rpi3_10   | unknown                   | docker_pull (66.8 MB)
t=  12.2s | network    | registry → nuc_9     | unknown                   | docker_pull (190.7 MB)
t=  12.3s | network    | registry → nuc_20    | unknown                   | docker_pull (190.7 MB)
t=  12.4s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=  12.5s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=  12.6s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=  12.7s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  12.8s | network    | registry → rpi3_11   | unknown                   | docker_pull (66.8 MB)
t=  12.9s | network    | registry → rpi4_8    | unknown                   | docker_pull (66.8 MB)
t=  13.0s | replica    | nano_1               | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t=  13.0s | network    | registry → rpi4_9    | unknown                   | docker_pull (66.8 MB)
t=  13.1s | network    | registry → rpi4_2    | unknown                   | docker_pull (66.8 MB)
t=  13.2s | network    | registry → rpi4_3    | unknown                   | docker_pull (66.8 MB)
t=  13.3s | network    | registry → rpi4_12   | unknown                   | docker_pull (66.8 MB)
t=  13.4s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=  13.5s | network    | registry → nuc_30    | unknown                   | docker_pull (190.7 MB)
t=  13.6s | network    | registry → nuc_39    | unknown                   | docker_pull (190.7 MB)
t=  13.7s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  13.8s | network    | nuc_0 → nano_3       | unknown                   | data_download (98.2 MB)
