FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 17:02:54

Total deployment events: 3134
Number of node-function combinations: 1001

Event Type Summary:
  Deployment events: 8
  Replica events: 2293
  Network events: 833

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=  10.0s | network    | registry → xeongpu_2 | unknown                   | docker_pull (190.7 MB)
t=  10.1s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.2s | network    | registry → nano_19   | unknown                   | docker_pull (95.4 MB)
t=  10.3s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.4s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.5s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.6s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.7s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  10.8s | network    | nuc_9 → tx2_2        | unknown                   | data_download (98.2 MB)
t=  10.9s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  11.0s | replica    | nano_21              | resnet50-inference        | startup replica of resnet50-inference
t=  11.0s | network    | nuc_9 → tx2_3        | unknown                   | data_download (98.2 MB)
t=  11.1s | network    | nuc_9 → nano_8       | unknown                   | data_download (98.2 MB)
t=  11.2s | network    | nuc_9 → nano_12      | unknown                   | data_download (98.2 MB)
t=  11.3s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  11.4s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  11.5s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  11.6s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=  11.7s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  11.8s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  11.9s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  12.0s | replica    | nano_21              | resnet50-inference        | setup replica of resnet50-inference
t=  12.0s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
