timestamp,node,node_type,power_watts,cpu_util,gpu_util,network_util,memory_util
3.0,nano_4,nano,2.914,0.2,0.08,0.06,0.15
4.0,nuc_0,nuc,9.76,0.12,0.02,0.05,0.1
4.0,rockpi_30,rockpi,3.2,0.0,0.0,0.0,0.0
4.0,rockpi_8,rockpi,3.2,0.0,0.0,0.0,0.0
4.0,nx_10,nx,7.3,0.0,0.0,0.0,0.0
4.0,nano_3,nano,1.9,0.0,0.0,0.0,0.0
4.0,coral_1,coral,2.8899999999999997,0.12,0.02,0.05,0.1
4.0,coral_3,coral,2.8899999999999997,0.12,0.02,0.05,0.1
4.0,nuc_1,nuc,9.76,0.12,0.02,0.05,0.1
4.0,rpi3_3,rpi3,1.4,0.0,0.0,0.0,0.0
4.0,rpi3_4,rpi3,1.8949999999999998,0.12,0.02,0.05,0.1
4.0,rpi3_5,rpi3,1.8949999999999998,0.12,0.02,0.05,0.1
4.0,rockpi_13,rockpi,4.08,0.12,0.02,0.05,0.1
4.0,nx_3,nx,12.59,0.25,0.15,0.1,0.18
4.0,nano_17,nano,2.914,0.2,0.08,0.06,0.15
4.0,nuc_2,nuc,9.76,0.12,0.02,0.05,0.1
4.0,rockpi_12,rockpi,4.08,0.12,0.02,0.05,0.1
4.0,rockpi_5,rockpi,4.08,0.12,0.02,0.05,0.1
4.0,nano_15,nano,2.914,0.2,0.08,0.06,0.15
4.0,nano_26,nano,2.914,0.2,0.08,0.06,0.15
4.0,rockpi_21,rockpi,4.08,0.12,0.02,0.05,0.1
4.0,rockpi_19,rockpi,4.08,0.12,0.02,0.05,0.1
4.0,nx_13,nx,12.59,0.25,0.15,0.1,0.18
4.0,nano_18,nano,2.914,0.2,0.08,0.06,0.15
4.0,nano_19,nano,2.914,0.2,0.08,0.06,0.15
